"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/MSPresets/M_MS_ImperfectionDecal_Material_VT/M_MS_ImperfectionDecal_Material_VT.M_MS_ImperfectionDecal_Material_VT","0","18","2","1","56.543571","18","158"
"/Game/MSPresets/M_MS_Decal_Material/M_MS_Decal_Material.M_MS_Decal_Material","0","21","7","1","60.201550","21","139"
"/Engine/EditorMaterials/GeometryCollection/SelectedGeometryMaterial.SelectedGeometryMaterial","0","6","6","1","112.122444","0","9"
"/Game/Models/Material.Material","0","46","18","1","86.396629","0","446"
"/Game/Materials/Pickupables/OutlineMaterials/MM_Outline.MM_Outline","0","32","4","1","48.550903","0","244"
"/Game/MSPresets/M_MS_SurfaceBlend_Material/M_MS_SurfaceBlend_Material.M_MS_SurfaceBlend_Material","0","27","5","1","107.226242","0","271"
"/Game/MSPresets/M_MS_Default_Transmission_Material_VT/M_MS_Default_Transmission_Material_VT.M_MS_Default_Transmission_Material_VT","0","27","1","1","110.788345","0","251"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","23","1","1","89.041092","0","167"
"/Game/Materials/M_Indicator.M_Indicator","0","22","0","1","0.000000","0","0"
"/Game/MSPresets/M_MS_Default_Transmission_Material/M_MS_Default_Transmission_Material.M_MS_Default_Transmission_Material","0","27","1","1","109.637344","0","224"
"/Game/MSPresets/M_MS_Default_Fuzz_Material/M_MS_Default_Fuzz_Material.M_MS_Default_Fuzz_Material","0","27","4","1","109.167404","0","266"
"/Game/MSPresets/M_MS_ImperfectionDecal_Material/M_MS_ImperfectionDecal_Material.M_MS_ImperfectionDecal_Material","0","18","3","1","59.685368","18","130"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","8","2","2","10.524530","0","21"
"/Game/Materials/Unlit.Unlit","0","36","5","1","37.453171","0","316"
"/Game/MSPresets/M_MS_Default_Fuzz_Material_VT/M_MS_Default_Fuzz_Material_VT.M_MS_Default_Fuzz_Material_VT","0","27","8","1","96.511055","0","157"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","4","1","6.995944","0","4"
"/Game/MSPresets/M_MS_Surface_Material_VT/M_MS_Surface_Material_VT.M_MS_Surface_Material_VT","0","27","6","1","84.422508","0","278"
"/Game/MSPresets/M_MS_Foliage_Material/M_MS_Foliage_Material.M_MS_Foliage_Material","0","29","6","1","96.165932","0","327"
"/Game/MSPresets/M_MS_Billboard_Material/M_MS_Billboard_Material.M_MS_Billboard_Material","0","58","1","1","207.538300","0","856"
"/Game/MSPresets/M_MS_Surface_Material/M_MS_Surface_Material.M_MS_Surface_Material","0","84","1","1","285.585327","0","1438"
"/Game/MSPresets/M_MS_Imperfection_Material_VT/M_MS_Imperfection_Material_VT.M_MS_Imperfection_Material_VT","0","14","1","1","52.284767","0","99"
"/Game/MSPresets/M_MS_Imperfection_Material/M_MS_Imperfection_Material.M_MS_Imperfection_Material","0","14","1","1","0.000000","0","99"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","68","1","1","110.145073","0","48"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","5","1","15.429736","0","44"
"/Game/Materials/M_Glass.M_Glass","0","48","3","1","4.852324","0","3"
"/Game/Materials/M_Fog.M_Fog","0","3","3","1","4.280060","0","4"
"/Game/Materials/M_Black.M_Black","0","14","3","1","48.056206","0","36"
"/Game/Levels/Levels/Kitchen/KitchenLevel/Storage.Storage","0","14","1","1","47.320354","0","58"
"/Game/Levels/Levels/Kitchen/KitchenLevel/Props.Props","0","14","1","1","45.591522","0","43"
"/Game/Levels/Levels/Kitchen/KitchenLevel/NewMaterial.NewMaterial","0","14","1","1","51.288013","0","83"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","20","4","1","55.586720","0","166"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","2","2","87.200439","0","260"
"/Game/Materials/Magnet/MM_Magnet.MM_Magnet","0","14","1","1","45.986145","0","85"
"/Game/Levels/StoryMode/Materials/M_Master.M_Master","0","23","4","1","75.395363","0","146"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","3.389509","0","4"
"/Game/MSPresets/M_MS_Default_Material_VT/M_MS_Default_Material_VT.M_MS_Default_Material_VT","0","27","3","1","85.336868","0","276"
"/Game/MSPresets/M_MS_Default_Material/M_MS_Default_Material.M_MS_Default_Material","0","27","1","1","86.109665","0","152"
"/Game/Levels/Levels/Kitchen/KitchenLevel/Grey.Grey","0","23","6","1","72.028549","0","110"
"/Game/Blueprints/Cells/M_CellGlow.M_CellGlow","0","14","1","1","45.649227","0","49"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","4","1","5.333869","0","4"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","23","4","1","89.717003","0","174"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","35","2","1","137.390762","0","290"
