"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4948","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","1.724171","0","11"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","1","1","3.035719","0","38"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","1","1","1.423698","0","8"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","18","4","1","9.839104","0","186"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","3.033960","0","32"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","1","1","2.281496","0","19"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","1.507542","0","10"
"/Game/LowPolyInterior/Materials/M_LowPolyInterior_Dust.M_LowPolyInterior_Dust","0","9","1","1","10.770136","0","50"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","53","56","6","29.193180","0","82"
"/Game/LowPolyInterior/Materials/M_LowPolyInterior_Glass.M_LowPolyInterior_Glass","0","31","3","1","94.452690","0","274"
"/Game/LowPolyInterior/Materials/M_LowPolyInterior_Fire.M_LowPolyInterior_Fire","0","9","1","1","5.744362","0","35"
"/Game/LowPolyInterior/Materials/M_LowPolyInterior_BG.M_LowPolyInterior_BG","0","14","1","1","11.454292","0","109"
"/Game/MSPresets/M_MS_Imperfection_Material_Var/M_MS_Imperfection_Material_Var.M_MS_Imperfection_Material_Var","0","14","3","1","17.534821","0","83"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","3","1","4.641737","0","24"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","1","1","0.000000","0","8"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","1","1","2.278795","0","8"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","1.919177","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","36","2","1","17.114069","0","130"
"/Game/Materials/Material_003.Material_003","0","14","14","1","10.422112","0","16"
"/Game/Materials/Material_002.Material_002","0","14","14","1","0.000000","0","16"
"/Game/Materials/Material_001.Material_001","0","14","14","1","0.000000","0","16"
"/Game/Materials/Material.Material","0","14","14","1","0.000000","0","16"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","67","19","1","53.750027","0","208"
"/Game/Models/Sketchfab/AlarmClock/clear.clear","0","14","14","1","0.000000","0","16"
"/Game/Models/OutsourcedModels/Pottery_Bowl_Mat.Pottery_Bowl_Mat","0","14","14","1","0.000000","0","16"
"/Game/Models/OutsourcedModels/Helice.Helice","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_011.Material_011","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_010.Material_010","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_009.Material_009","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_008.Material_008","0","14","14","1","0.000000","0","16"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","14","1","10.678038","0","14"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","26","1","21.465925","0","28"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","0.000000","0","16"
"/Game/Models/HassanModels/cell/PolySphere1.PolySphere1","0","14","14","1","0.000000","0","16"
"/Game/Models/HassanModels/cell/PM3D_Sphere3D2.PM3D_Sphere3D2","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_007.Material_007","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_006.Material_006","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_005.Material_005","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_004.Material_004","0","14","14","1","0.000000","0","16"
"/Game/Levels/Levels/BuildLevel/Material_003.Material_003","0","14","14","1","0.000000","0","16"
